id,name,cost
0,Автомобильный держатель Blast BCH-440, 310
1,Автомобильный держатель DEXP MCH-103, 350
2,Автомобильный держатель DEXP P-20, 310
3,Автомобильный держатель DEXP S004-1, 699
4,Автомобильный держатель DEXP S019, 699
5,Автомобильный держатель GINZZU GH-682, 599
6,Универсальный держатель Joby GripTight Micro Stand (Small Tablet),2 199
7,Универсальный держатель LUMI LEGEND PAD26-02,2 199
8,Универсальный держатель LUMI LEGEND PAD26-02L,2 450
9,Универсальный держатель LUMI LEGEND PAD26-03,1 999
10,Универсальный держатель LUMI LEGEND PAD26-03L,2 250
11,Универсальный держатель LUMI LEGEND PAD26-04CL,4 750
12,Универсальный держатель LUMI LEGEND PAD26-05CL,4 350
13,Универсальный держатель LUMI LEGEND PAD26-05L,4 150
14,Пленка защитная для планшета Acer B3-A32, 399
15,Пленка защитная для планшета Acer Iconia Talk S A1-734, 250
16,Пленка защитная для планшета Acer Switch One S1003, 250
17,"Пленка защитная для планшета Apple iPad Air, Apple iPad Air 2", 250
18,Пленка защитная для планшета Apple iPad Pro, 250
19,Пленка защитная для планшета Asus ZenPad 10.1 Z301MFL, 299
20,Пленка защитная для планшета ASUS ZenPad 7 Z170, 250
21,"Пленка защитная для планшета ASUS ZenPad Z300C, ASUS ZenPad Z300CL, ASUS ZenPad Z300CG", 250
22,Пленка защитная для планшета Dexp KX370, 199
23,Пленка защитная для планшета Dexp Ursus L110, 250
24,Пленка защитная для планшета Dexp Ursus L180, 250
25,Пленка защитная для планшета Dexp Ursus N110, 299
26,Пленка защитная для планшета DEXP Ursus N170, 199
27,Пленка защитная для планшета DEXP Ursus N180, 199
28,Пленка защитная для планшета Dexp Ursus N280, 55
29,Пленка защитная для планшета DEXP Ursus NS370, 299
30,Пленка защитная для планшета DEXP Ursus P110, 299
31,Пленка защитная для планшета DEXP Ursus P180, 299
32,Пленка защитная для планшета Dexp Ursus P210, 199
33,Пленка защитная для планшета Dexp Ursus P280, 150
34,Пленка защитная для планшета Dexp Ursus P310, 199
35,Пленка защитная для планшета Dexp Ursus P380, 199
36,Пленка защитная для планшета Dexp Ursus S110, 199
37,Пленка защитная для планшета Dexp Ursus S169, 39
38,Пленка защитная для планшета DEXP Ursus S170, 199
39,Пленка защитная для планшета DEXP Ursus S170i, 250
40,Пленка защитная для планшета Dexp Ursus S270, 150
41,Пленка защитная для планшета DEXP Ursus TS197 Navis, 350
42,Пленка защитная для планшета DEXP Ursus TS310, 299
43,Пленка защитная для планшета Dexp Ursus VA170, 199
44,Пленка защитная для планшета Digma Optima 1315T 4G, 299
45,Пленка защитная для планшета Finepower A1, 299
46,Пленка защитная для планшета Finepower A2, 299
47,Пленка защитная для планшета Finepower B1, 250
48,Пленка защитная для планшета Finepower B2, 250
49,Пленка защитная для планшета Finepower E1, 250
50,Пленка защитная для планшета Finepower E4, 79
51,Пленка защитная для планшета Finepower E5, 35
52,Пленка защитная для планшета Finepower N1, 150
53,Пленка защитная для планшета Huawei M3 Lite 10, 299
54,Пленка защитная для планшета Huawei MediaPad M3, 399
55,Пленка защитная для планшета Huawei Media Pad T1, 250
56,Пленка защитная для планшета Huawei Media Pad T1, 45
57,Пленка защитная для планшета Huawei Media Pad T1, 299
58,Пленка защитная для планшета Huawei MediaPad T2 10 Pro, 299
59,Пленка защитная для планшета Huawei MediaPad T2 7.0, 250
60,Пленка защитная для планшета Huawei MediaPad T2 7.0, 450
61,Пленка защитная для планшета Huawei MediaPad T3, 350
62,Пленка защитная для планшета Huawei MediaPad T3, 250
63,Пленка защитная для планшета Huawei MediaPad T3, 199
64,Пленка защитная для планшета Huawei MediaPad T3, 250
65,Пленка защитная для планшета Huawei MediaPad T5, 250
66,Пленка защитная для планшета Irbis TW36, 299
67,Пленка защитная для планшета Irbis TW45, 350
68,Пленка защитная для планшета Irbis TW74, 399
69,Пленка защитная для планшета Irbis TW90, 350
70,Пленка защитная для планшета Irbis TZ05, 199
71,Пленка защитная для планшета Irbis TZ06, 299
72,Пленка защитная для планшета Irbis TZ07, 199
73,Пленка защитная для планшета Irbis TZ08, 250
74,Пленка защитная для планшета Irbis TZ176, 350
75,Пленка защитная для планшета Irbis TZ48, 120
76,Пленка защитная для планшета Irbis TZ50, 120
77,Пленка защитная для планшета Irbis TZ712, 199
78,Пленка защитная для планшета Irbis TZ713, 250
79,Пленка защитная для планшета Irbis TZ727, 220
80,Пленка защитная для планшета Irbis TZ732, 199
81,Пленка защитная для планшета Irbis TZ733, 299
82,Пленка защитная для планшета Irbis TZ738, 250
83,Пленка защитная для планшета Irbis TZ751, 299
84,Пленка защитная для планшета Irbis TZ761, 199
85,Пленка защитная для планшета Irbis TZ881, 299
86,Пленка защитная для планшета Irbis TZ883, 299
