id,smartphone_brand,smartphone_model,product_category,cost
0,OnePlus,LG V60 ThinQ,Electronics,174428
1,Huawei,LG V60 ThinQ,Electronics,145741
2,Google,Nokia 8.3,Electronics,17366
3,Apple,OnePlus 9,Electronics,111348
4,Google,Pixel 5,Smartphone,152334
5,Samsung,Xperia 1 II,Mobile Device,24964
6,Samsung,Xperia 1 II,Electronics,161738
7,Huawei,iPhone 12,Smartphone,52469
8,Nokia,OnePlus 9,Electronics,112143
9,Sony,OnePlus 9,Smartphone,89522
10,OnePlus,iPhone 12,Electronics,16682
11,Nokia,Mi 11,Smartphone,109625
12,LG,Xperia 1 II,Smartphone,93927
13,Apple,OnePlus 9,Smartphone,77154
14,Apple,Mi 11,Smartphone,9682
15,Huawei,LG V60 ThinQ,Mobile Device,182509
16,LG,Pixel 5,Mobile Device,33598
17,Apple,OnePlus 9,Mobile Device,74183
18,Huawei,OnePlus 9,Mobile Device,79885
19,Xiaomi,Xperia 1 II,Electronics,149586
20,Motorola,Mi 11,Electronics,197817
21,Motorola,Xperia 1 II,Mobile Device,80173
22,Xiaomi,OnePlus 9,Electronics,73381
23,Motorola,Moto G Power,Electronics,25593
24,Huawei,OnePlus 9,Smartphone,55232
25,Samsung,ZenFone 8,Mobile Device,33719
26,Google,Moto G Power,Mobile Device,140385
27,Samsung,Moto G Power,Mobile Device,57918
28,Xiaomi,ZenFone 8,Electronics,157289
29,Samsung,LG V60 ThinQ,Mobile Device,136277
30,Xiaomi,Pixel 5,Electronics,52872
31,LG,Nokia 8.3,Mobile Device,167530
32,Google,Nokia 8.3,Smartphone,193947
33,Xiaomi,Moto G Power,Mobile Device,15713
34,Nokia,Nokia 8.3,Smartphone,102193
35,Google,Galaxy S21,Electronics,152859
36,Sony,Moto G Power,Electronics,124248
37,Nokia,OnePlus 9,Smartphone,134183
38,Samsung,Nokia 8.3,Electronics,134546
39,Samsung,Pixel 5,Mobile Device,13660
40,Apple,Galaxy S21,Electronics,134980
41,OnePlus,Nokia 8.3,Electronics,155028
42,Google,OnePlus 9,Mobile Device,189477
43,Samsung,iPhone 12,Mobile Device,113051
44,Huawei,Mi 11,Smartphone,39282
45,OnePlus,ZenFone 8,Electronics,195598
46,Motorola,Xperia 1 II,Smartphone,55140
47,LG,Pixel 5,Smartphone,193747
48,Motorola,Pixel 5,Mobile Device,28502
49,Apple,Galaxy S21,Mobile Device,39093
50,Samsung,OnePlus 9,Electronics,198934
51,OnePlus,OnePlus 9,Smartphone,194616
52,Apple,Pixel 5,Mobile Device,15499
53,LG,LG V60 ThinQ,Smartphone,7832
54,Apple,OnePlus 9,Mobile Device,147730
55,Sony,OnePlus 9,Electronics,72310
56,Samsung,OnePlus 9,Mobile Device,105545
57,Nokia,Xperia 1 II,Smartphone,125510
58,Samsung,iPhone 12,Mobile Device,194868
59,Apple,Pixel 5,Mobile Device,166280
60,Huawei,Mi 11,Mobile Device,90612
61,Xiaomi,Xperia 1 II,Mobile Device,198090
62,OnePlus,Nokia 8.3,Mobile Device,156928
63,Xiaomi,LG V60 ThinQ,Electronics,87908
64,LG,Moto G Power,Electronics,35767
65,Google,Pixel 5,Electronics,44220
66,Google,LG V60 ThinQ,Electronics,142303
67,Samsung,Galaxy S21,Electronics,182245
68,Nokia,Mi 11,Electronics,120828
69,Xiaomi,ZenFone 8,Smartphone,106482
70,Motorola,Pixel 5,Electronics,14534
71,Huawei,Galaxy S21,Mobile Device,155516
72,Motorola,LG V60 ThinQ,Electronics,166212
73,Google,iPhone 12,Electronics,124251
74,Xiaomi,Pixel 5,Mobile Device,73365
75,Samsung,iPhone 12,Smartphone,116616
76,Huawei,Nokia 8.3,Mobile Device,172831
77,Google,Xperia 1 II,Smartphone,133717
78,Motorola,iPhone 12,Smartphone,125740
79,Huawei,Galaxy S21,Smartphone,18671
80,Nokia,Xperia 1 II,Mobile Device,134893
81,Sony,OnePlus 9,Smartphone,46399
82,Nokia,Moto G Power,Mobile Device,29619
83,OnePlus,LG V60 ThinQ,Mobile Device,164645
84,LG,Nokia 8.3,Mobile Device,54000
85,OnePlus,Xperia 1 II,Electronics,75331
86,Motorola,Mi 11,Mobile Device,145118
87,Google,Xperia 1 II,Mobile Device,157726
88,Nokia,LG V60 ThinQ,Mobile Device,48538
89,Xiaomi,OnePlus 9,Mobile Device,10776
90,Sony,Nokia 8.3,Mobile Device,98486
91,Google,iPhone 12,Electronics,111628
92,Motorola,ZenFone 8,Smartphone,89908
93,Nokia,OnePlus 9,Smartphone,67643
94,Sony,Galaxy S21,Mobile Device,25208
95,Nokia,Pixel 5,Mobile Device,63870
96,Google,Xperia 1 II,Smartphone,143674
97,Xiaomi,ZenFone 8,Electronics,126286
98,LG,Galaxy S21,Smartphone,103588
99,Huawei,Mi 11,Electronics,178191
100,Apple,Nokia 8.3,Mobile Device,163505
101,OnePlus,LG V60 ThinQ,Electronics,163373
102,Samsung,ZenFone 8,Mobile Device,171057
103,Google,ZenFone 8,Mobile Device,96679
104,Google,Galaxy S21,Mobile Device,141921
105,OnePlus,iPhone 12,Electronics,15522
106,Motorola,Moto G Power,Electronics,173826
107,OnePlus,Galaxy S21,Smartphone,30129
108,LG,iPhone 12,Electronics,199382
109,Google,Xperia 1 II,Electronics,183816
110,OnePlus,Pixel 5,Mobile Device,15941
111,LG,Galaxy S21,Smartphone,28038
112,Huawei,Pixel 5,Electronics,183464
113,Xiaomi,Mi 11,Smartphone,12543
114,Motorola,Pixel 5,Electronics,114948
115,Xiaomi,Pixel 5,Mobile Device,6584
116,Apple,Galaxy S21,Electronics,195845
117,Motorola,Xperia 1 II,Smartphone,37987
118,Huawei,Moto G Power,Electronics,165185
119,Motorola,Nokia 8.3,Electronics,43316
120,Huawei,iPhone 12,Mobile Device,24744
121,Nokia,Xperia 1 II,Smartphone,172047
122,Sony,Xperia 1 II,Mobile Device,71751
123,Apple,Galaxy S21,Mobile Device,166771
124,LG,OnePlus 9,Electronics,166976
125,Motorola,iPhone 12,Electronics,160897
126,Sony,Nokia 8.3,Mobile Device,53430
127,Samsung,LG V60 ThinQ,Mobile Device,14416
128,Apple,Galaxy S21,Electronics,159996
129,Nokia,ZenFone 8,Electronics,74096
130,Apple,LG V60 ThinQ,Mobile Device,59379
131,Motorola,Pixel 5,Smartphone,53166
132,OnePlus,Galaxy S21,Smartphone,24061
133,LG,Xperia 1 II,Electronics,194248
134,Xiaomi,Pixel 5,Electronics,69249
135,Huawei,Galaxy S21,Electronics,131526
136,Apple,Mi 11,Electronics,178685
137,Huawei,Moto G Power,Electronics,159510
138,Motorola,Moto G Power,Electronics,113100
139,Xiaomi,Pixel 5,Smartphone,109501
140,Apple,Moto G Power,Electronics,176423
141,Motorola,OnePlus 9,Smartphone,73961
142,Motorola,OnePlus 9,Electronics,13805
143,Apple,OnePlus 9,Smartphone,191036
144,Huawei,Mi 11,Mobile Device,59345
145,Nokia,iPhone 12,Mobile Device,172284
146,Huawei,Xperia 1 II,Mobile Device,150059
147,Google,Xperia 1 II,Mobile Device,52873
148,Google,Mi 11,Smartphone,193573
149,Nokia,Nokia 8.3,Electronics,98864
150,LG,Nokia 8.3,Mobile Device,44516
151,Samsung,Pixel 5,Smartphone,94809
